# セグメント02（20:00〜30:00）
# cue_count=194
[20:01] 気づかないポイントがあるんだ。この
[20:03] ドローンはバッテリーで動いてるんだよ。
[20:05] しかもそのバッテリーはまだ使われてない
[20:07] んだ。1%も使われてないんだ。そして
[20:10] まさにそこがこの武器の1番危険なところ
[20:12] なんだ。だってバッテリーが完全な状態
[20:15] なら全てが変わるからさ。この一見小さな
[20:18] ことが今まさにロシアにとって最悪の悪夢
[20:22] になりつつあるんだ。でも結局のところ
[20:26] こんなにシンプルなものがどうして世界で
[20:29] 1番効果な暴空システムを恥ずかしめてる
[20:32] んだろう。この風船がなぜロシアの将軍
[20:35] たちをそんなに怖がらせているのか理解
[20:38] するにはウクライナが何ヶ月もかけて解決
[20:41] しようとしていた問題を知る必要があるん
[20:43] だ。ここ数週間占領地にいるロシア軍への
[20:48] 補給路はまるで罠みたいなものに変わって
[20:52] きたんだ。クリミアや占領地域とロシア
[20:55] 本土を結ぶ感染道路は市の回廊になって
[20:59] しまったんだ。燃料を積んだ走行トラック
[21:02] や補給車列が次々とほとんど好き放題に
[21:06] 破壊されてるんだ。ウクライナはこの破壊
[21:09] のゾーンをもっともっと奥深くまで
[21:12] 押し広げたいと思ってるんだ。モスクワに
[21:15] もっと近づけてロシアの物流の中心部に
[21:17] もっと迫りたいんだ。でもそこには限界が
[21:20] あったんだ。そしてその限界にはちゃんと
[21:24] 数字があった。ウクライナがこういう攻撃
[21:27] に使ってるドローンは優秀だよ。本当に
[21:30] すごいんだ。でも
[21:32] エンジンで動くドローンにはどれも飛べる
[21:34] 距離の限界があるんだ。で、このドローン
[21:36] の限界は大体150kmくらいなんだ。
[21:40] この範囲内は全部ロシア側にとって危険
[21:42] 地帯になっちゃったんだ。その範囲の外は
[21:45] 全部安全だったんだ。そしてウクライナは
[21:48] その言葉を消し去る決意をしてたんだ。
[21:51] アンチン。そのプレッシャーの
[21:54] 大きさを分かってもらうために2026年
[21:57] の2月から4月の間にゼレンスキー大統領
[22:01] はウクライナが中距離攻撃の回数を4倍に
[22:06] 増やしたと発表した。そう、4倍になった
[22:09] んだ。たった3ヶ月でね。でもどれだけ量
[22:13] を増やしてもその150kmの壁はずっと
