# セグメント07（1:10:00〜1:11:27）
# cue_count=25
[1:10:00] 軍隊がウクライナが生み出した戦え方を
[1:10:03] 真似してるんだ。縛撃を受け
[1:10:05] ながらな。
[1:10:07] 生徒が先生になったってわけだ。だから
[1:10:10] こそ最初にしたあの質問がこの戦争を超え
[1:10:14] てすごく大事なんだよ。何世紀もの間世界
[1:10:17] は戦争は1番予算があるもののものだと
[1:10:21] 信じてきたんだ。1番大きな軍隊を持って
[1:10:24] いるもののものだってね。1番効果な
[1:10:27] テクノロジーを持っているもののものだと
[1:10:28] 思うね。ウクライナは実際の戦場でそれが
[1:10:31] もう終わったかもしれないって証明してる
[1:10:33] んだ。数の力じゃ想像には勝てない。お金
[1:10:38] じゃ想像力には勝てないんだよ。そして次
[1:10:41] の戦争ではより多くお金を使うものじゃ
[1:10:44] なくて、より早く学ぶものが有利になるか
[1:10:47] もしれないってこともね。もし
[1:10:50] この転換でこの戦争の味方が変わったなら
[1:10:53] いいねをしてくれるとチャンネルの助けに
[1:10:55] なるし、是非登録もしてね。だってこの話
[1:10:58] はまだまだ終わらないからね。新しい武器
[1:11:01] もテストもこの大きな転換の1つ
[1:11:04] 1つの賞も全部ここで紹介していくよ。
[1:11:07] それで君の意見も是非聞かせて欲しいんだ。
[1:11:10] この新しい時代君はどっちにかける最大来の軍備を持つ側それともっと早くて安くてクリエイティブな側にコメント書いてね。全部ちゃんと読んでるから見てくれてありがとう。次の動画で会おうね。
