# セグメント03（30:00〜40:00）
# cue_count=178
[30:01] 買い戻そうとしたり、インドと
[30:03] すでに契約していた納品を延期したりもし
[30:06] ているんだ。いくつかの攻撃では輸出用の
[30:10] マーキングがついたミサイルまで登場した
[30:12] んだ。つまり
[30:14] ロシアで使うはずじゃなかったミサイルっ
[30:16] てことだよ。こういうサインの1つ1
[30:20] つだけでもかなりのことを物語ってるよ。これらが全部揃ろうとロシアの備蓄がかなり厳しい状況にあるってことが分かるよ。
[30:29] 本当にね。
[30:29] じゃあ今まで話したことを全部まとめてみて古車くらいの値段できる攻撃と
[30:35] 発打つのに何百万もかかる防御があってその防御の弾薬もどんどん減ってきてるんだ。だから世界で
[30:43] 番高い防御でも正直どうしようもないって言われてるんだよ。
[30:51] 別に技術がないわけじゃないんだ。それは
[30:51] 計算が合わないからなんだよ。数学的には
[30:54] ウクライナの味方なんだよ。じゃあ最初に
[30:57] 見たあの1つの風船を先売にしてみて。
[31:01] 大体そんな感じでウクライナはそれくらい
[31:03] の数を空に溶かしてるんだよ。2025年
[31:07] の終わりからすでに1000個以上の風船
[31:11] がいろんな目的でロシアの領土に飛ばされ
[31:15] てるんだ。そして今ホーネットを搭載した
[31:18] 新しいタイプが出てきたことで今まで安全
[31:21] だと思われていたロシアの領土のあらゆる
[31:24] 場所がもう安全じゃなくなったんだ。これ
[31:27] は理論じゃないんだ。ホーネットはもう
[31:30] 実践で使われてるんだ。今まさに
[31:39] ウクライナ国家警備隊のアゾフ第一軍団が
[31:39] これらのドローンがロシアの補給路に対し
[31:41] て組織的に使われていることを確認したん
[31:44] だ。そしてパイロットたちはこう言ってる
[31:46] んだ。前線から最大160kmも後方の
[31:50] 道路をパトロールして占領下のドネツクの
[31:53] 上空も飛んでいるって。前線から50km
[31:57] 以上も離れてるんだ。2026年6月10
[32:01] 日、同じ部隊のドローンがマリポリの港を
[32:05] 攻撃したんだ。その結果現地は停電になっ
[32:08] たんだ。攻撃を受けたんだ。燃料タンクや
[32:12] 変電所がやられたんだ。レーダー危機や
[32:15] 完成党までやられたんだ。たった1度の
[32:18] 攻撃でこの町は物流拠点としての機能の大
[32:21] 部分を失っちゃったんだ。その5日前、5
[32:25] 日には今度はクリミアに物資を送る鉄道が
[32:30] やられたんだ。そしてノボロシアっていう
[32:33] 半島への主要な軍事ルートの1つでロシア
[32:37] の交通量がガクっと減ったんだ。その減少
[32:40] 率はなんと71%にもなったんだ。で、
[32:44] これ全部が積み重なった結果どうなったと
[32:47] 思う?
[32:49] 2014年にロシアがこの半島を取って
[32:52] からクリミアで最悪の燃料危機器が起き
[32:55] てるんだよ。それで滅たに弱みを認めない
[32:58] クレムリンもこの問題の大きさを公けに
[33:02] 認めざるを得なかったんだ。
[33:05] で、ここまで見てきたことは全部ドローン
[33:08] でやられたんだよ。そして気球はその次の
[33:12] ステップなんだ。この同じ
[33:14] ホーネットをもっと深く、もっと安く
[33:17] ロシアが手の届かないと思ってい
[33:20] た標的にまで運ぶための解決策なんだ。見
[33:24] てくれよ。言わせてくれ。この話はまだ
[33:27] 終わってないんだ。ウクライナが生産を
[33:30] 拡大して技術を磨いていくにつれてこれら
[33:34] の発射用が今後数ヶ月でます頻繁に戦闘に
[33:39] 投入されるのを目にすることになるだろう
[33:41] な。
[33:49] でもこの動画の1番大きな教訓は
[33:49] ウクライナやロシアのことじゃないかも
[33:51] しれないな。それはある幻想についてなん
[33:54] だ。
[33:56] もっとお金を使えばもっと守れ
[33:58] るっていう幻想だよ。ロシアは何十年も
[34:02] 何十億もかけて空に壁を作ってき
[34:05] たんだ。そしてウクライナは裏口を見つけ
[34:19] 先週ウクライナのどこか秘密の場所で
[34:19] ピンク色のミサイルが空に打ち上げられた
[34:22] んだ。動画は数秒しかないけど、詳しい人
[34:26] ならすぐ分かったけど、あの時あの
[34:29] ミサイルは何も攻撃しようとしてなかった
[34:32] んだ。あのミサイルは逆方向つまり上に
[34:36] 向かって飛んで空中で他のミサイルを
