# セグメント05（50:00〜1:00:00）
# cue_count=187
[50:02] んだ。プーチンはバするどころか逆にその
[50:06] 旅談を英雄として表彰したんだ。4年後
[50:11] ウクライナのドローンが寝ているところを
[50:12] 見つけたのがこの旅談だったんだ。として
[50:16] 攻撃したんだ。一晩で21回もウクライナ
[50:20] の兵士が1人も地面に足を踏み入れること
[50:23] なくだよ。復讐は果たされたんだ。でも
[50:26] それはこの話の中で1番重要じゃない部分
[50:29] なんだ。だって誰も口にしていない疑問が
[50:32] あるからさ。ウクライナはどうやってこの
[50:34] 男たちを見つけたんだろう。ドローンは
[50:37] どうやってまさにその夜その場所。しかも
[50:40] 100kmも奥深くにたどり着けたんだ。
[50:43] としてこれらの質問への答えが戦争全体を
[50:47] 変えたんだ。
[50:51] だって彼らが使ったのは武器じゃなかった
[50:53] からさ。それは予想外のものでつい最近
[50:56] までGoogleマップを更新するために
[50:58] 使われてたものだったんだ。君が
[51:00] 今見た攻撃はドンが良かっただけじゃない
[51:04] んだ。特別な作戦でもなかったんだ。何
[51:08] ヶ月も計画されたものでもないんだ。ただ
[51:11] の日常業務だったんだ。それはちょうど
[51:14] 発表した舞台のまた1晩の仕事
[51:16] だったんだ。現代史場どの軍隊も公表した
[51:20] ことのない数字を発表した舞台な
[51:22] んだ。6月4日、ウクライナのドローン
[51:27] 部隊の司令官ロバートブロブディ
[51:29] が1年間の作戦の成果を発表したんだ。
[51:33] ウクライナ側の集計によるとデルタって
[51:37] いうデジタルシステムにミッションごとに
[51:39] 記録されてて、それぞれの攻撃の映像や
[51:43] 証拠も保存されてるんだ。この舞台だけで
[51:46] 10万82人のロシア兵を戦闘不能に
[51:49] したんだ。それを358日間で
[51:53] やったんだ。これがどれだけすごいことか
[51:55] 分かってもらうために言うと、プーチンが
[51:59] 2022年にウクライナに進行した時、彼
[52:03] はその作戦に約19万人の兵士を投入した
[52:08] んだ。彼はそれだけで国全体を3日で制圧
[52:12] できると思ってたんだ。でもたった1つの
[52:15] ウクライナ部隊が1年でその人数の半分
[52:18] 以上を倒したんだよ。でもこのデータには
[52:21] 合計よりももっと衝撃的なポイントがある
[52:24] んだ。10万人のうち5万3000人が
[52:28] なくなったんだ。4万6000人が怪我を
[52:31] したんだ。怪我人よりもなくなった人の方
[52:34] が多かったんだ。ただの数字に見えるかも
[52:37] しれないけど。違うんだ。20世紀の戦争
[52:40] では逆のことが起きてたんだよ。第日次
[52:43] 世界大戦では亡くなった人1人に対して
[52:46] 大体3人が負傷してたんだ。ベトナム戦争
[52:49] ではそれ以上3人以上だったんだ。
[52:51] アフガニスタンでは亡くなった人1人に
[52:54] 対してほぼ10人が負傷してたんだ。今の
[52:57] ロシア戦ではその割合が逆転してるんだ。
[53:01] そしてその味方として1番ありそうなのは
[53:04] ちょっと怖い話なんだ。攻撃してる側は
[53:08] ただ闇雲に破片をばらまいてるわけじゃ
[53:10] ないんだよ。どこを狙って当てるか
[53:12] ちゃんと選んでるんだ。確かにこれらの
[53:15] 数字は戦争の両側から出てきてるんだ。
[53:18] そしてこのチャンネルではいつもその出相
[53:20] をちゃんと表示してる。でもこの傾向は
[53:24] 独立したところでも確認されてるんだよ。
[53:27] メディアゾナっていうロシアの調査報道
[53:30] グループがいるんだけど、彼らは死亡記事
[53:32] や葬儀の告知を使って戦士者を数えてるん
[53:35] だ。名前で確認してるんだ。進行が始まっ
[53:39] てからロシア軍の戦士者は15万6000
[53:42] 人以上になってるよ。そして2025年が
[53:47] この戦争で1番ちな臭い年になるって指摘
[53:50] してるんだ。前年よりも40%多く不法が
[53:54] 出てるんだ。そこでどうしても疑問が湧い
