# セグメント06（1:00:00〜1:10:00）
# cue_count=162
[1:00:02] んだよ。それに軍トラックの新しいタイヤ
[1:00:05] の跡もあったんだ。確認した。ドローン
[1:00:08] 離陸するぞ。そして今見てるのはロシアの
[1:00:13] 弾薬が消えていくところだ。これらの映像
[1:00:16] は民間の商業衛星からのものだ。主な会社
[1:00:20] はコロラド州のバントールでアメリカ、
[1:00:23] オランダ、そしてウクライナ自身の
[1:00:26] パートナーと一緒に運営してるんだ。
[1:00:28] そしてここが出てきた部分だ。まるで
[1:00:31] フィクションみたいだよな。同じ衛星が
[1:00:33] GoogleMapプを更新したり
[1:00:35] 違法漁業を監視したりしてたんだ
[1:00:37] 。このネットワークは1日に700万km
[1:00:41] を撮影してるんだ。しかも同じ場所の上を
[1:00:44] 1日に15回も通過するんだ。以前はこう
[1:00:49] いう画像はキエフの司令部で分析されてた
[1:00:52] んだ。何時間もかかってたんだよ。時には
[1:00:56] 何日もかかることもあったんだ。情報が
[1:00:59] 前線に届く頃にはターゲットはもういなく
[1:01:02] なってたんだ。今じゃ写真が兵士の携帯に
[1:01:06] 15分で届くんだ。ターゲットを見つけて
[1:01:09] から破壊するまでの時間が90%も短縮さ
[1:01:14] れたんだ。オールストリートジャーナルに
[1:01:17] よると商業要性画像がリアルタイムで兵士
[1:01:21] に直接届いて戦闘の判断に使われるのは
[1:01:24] 歴史上初めてのことらしいよ。これが実際
[1:01:28] にどういう意味か考えてみてよ。
[1:01:31] ウクライナの小さなチーム1つ1つが同時
[1:01:33] に2つの役割を持つようになったんだ。
[1:01:36] 宇宙の目であり、空のハンマーでもあるってことさ。
[1:02:05] どの西側企業もロシアには売ってくれないんだよ。
[1:02:20] 2026年2
[1:02:20] 月にはその端末のブロックが本格的に始まったんだ。
[1:02:29] 西側で最も信頼されている分析センターの
[1:02:29] 1つ戦争研究所によるとそれが
[1:02:33] すぐに状況を貯めたんだ。ロシアの中心
[1:02:37] 攻撃能力を止めたんだ。ロシアは妨害され
[1:02:41] ない光ファイバードローンにかけ
[1:02:44] たんだ。でも国内で唯一の光ファイバー
[1:02:48] 工場はサランスクて町にあるんだけど、
[1:02:52] 2025年5月にウクライナのドローンが
[1:02:55] 攻撃してから止まったままなんだ。年間
[1:02:58] 400万km分の光ファイバーが止まった
[1:03:01] まま。ロシアはケーブルですら中に頼る
[1:03:05] しかなくなったんだ。そして1番気肉な
[1:03:07] 打撃はクレムリン自身からやってきたんだ
[1:03:09] 。
[1:03:10] ロシア国内で情報の拡散を恐れてテレムを締めつけたことで前線でロシア軍の舞隊同士が連絡を取り合うために使っていた非公式な通信手段まで壊しちゃったんだ。
[1:03:24] このパターン分かる?
[1:03:24] それにウクライナの強みは盗んだり真似したりできる技術じゃないんだ。それはエコシステムなんだ。民間の衛星、協力企業、プログラム、そしてデータが数分で流れてくるんだ。
[1:03:38] それにエコシステムは戦争の
[1:03:39] 真った中で手に入るもんじゃない。さっき
[1:03:42] 話したロシアのドローン戦争センター
[1:03:44] ルビコンも必死で追いかけてるんだ。でも
[1:03:46] ルビコンが追いかけてるのは自分よりも
[1:03:48] もっと早く動くものなんだよ。そして
[1:03:51] その結果はもう地図の上に描かれ
[1:03:53] てるんだ。
[1:03:55] 2026年4月、2024年8月以来
[1:03:59] 初めてロシアは領土を巡言したん
[1:04:02] だ。進んだよりも交代したってことだよ。
[1:04:06] ロシアの新軍ペースは去年は1日あたり
[1:04:09] ほぼ10平方だったのが今年は3km未満
[1:04:13] にガクっと落ち込んでるんだ。
[1:04:15] その研究所自身も正直に4月の原速の一部
[1:04:19] は季節的なものかもしれないって言ってる
[1:04:21] よ。春の泥はどんな構成も止め
[1:04:24] ちゃうからね。でもこの傾向は11月から
[1:04:26] 毎月ずっと下がり続けてるんだ。それに
[1:04:29] こう言ってるのはアナリストだけじゃない
[1:04:31] んだよ。アントンゲラシチェンコ
[1:04:34] ウクライナ政府のアドバイザーはこの状況
[1:04:37] をこうまとめてるよ。ロシア軍の新軍は
[1:04:40] 最前線のほとんどでほぼ止まっ
[1:04:42] てるんだ。ほんの一部のセクターだけが
[1:04:45] まだ前進してるって感じだよ。それに
[1:04:48] ロシア側の者はどんどん増えてるんだ。彼
[1:04:51] によるとまさに君が今知ったあの技術的な
[1:04:53] 優意性によってロシア軍は押し戻されてる
[1:04:56] んだ。クレムニンが約束してたあの大規模
[1:05:00] な春の構成も食い止められたよ。
[1:05:02] よし、みんな。
[1:05:04] 平和はない。
[1:05:06] ドローンなしじゃ平和ない。あそこにはたくさんの法兵が敵は厳しい
[1:05:31] 1台の走行者もなかった。
[1:05:31] 君ももうこのシーンを見たことがあるよね
[1:05:33] 。今ならその裏にある仕組みも分かる
[1:05:36] だろう。そして同じ研究所によると
[1:05:39] プーチンは今も動いている。自分の前線に
[1:05:42] ついて偽りのイメージを使っている。それ
[1:05:45] は彼の上層部が出す故障された報告書に
